Date,Ticker,Gate_Value
2025-03-20,AAPL,0.9490320682525635
2025-03-20,ADBE,0.9468768835067749
2025-03-20,AMD,0.9447845220565796
2025-03-20,CMCSA,0.9474155902862549
2025-03-20,COST,0.9507301449775696
2025-03-20,INTC,0.9465023279190063
2025-03-20,INTU,0.9488276839256287
2025-03-20,MSFT,0.9483019113540649
2025-03-20,QCOM,0.947067379951477
2025-03-20,SBUX,0.948579728603363
2025-03-21,AAPL,0.9492793679237366
2025-03-21,ADBE,0.9470837116241455
2025-03-21,AMD,0.944722056388855
2025-03-21,CMCSA,0.9472991228103638
2025-03-21,COST,0.9509386420249939
2025-03-21,INTC,0.9465230107307434
2025-03-21,INTU,0.9488725662231445
2025-03-21,MSFT,0.9482166767120361
2025-03-21,QCOM,0.9470974206924438
2025-03-21,SBUX,0.9486569166183472
2025-03-24,AAPL,0.9497022032737732
2025-03-24,ADBE,0.9475048780441284
2025-03-24,AMD,0.9447703957557678
2025-03-24,CMCSA,0.9474664926528931
2025-03-24,COST,0.9514200091362
2025-03-24,INTC,0.9466533660888672
2025-03-24,INTU,0.9491959810256958
2025-03-24,MSFT,0.9482977986335754
2025-03-24,QCOM,0.9471498727798462
2025-03-24,SBUX,0.9488131403923035
2025-03-25,AAPL,0.9500139355659485
2025-03-25,ADBE,0.9478325247764587
2025-03-25,AMD,0.9447507262229919
2025-03-25,CMCSA,0.9475460648536682
2025-03-25,COST,0.9515442848205566
2025-03-25,INTC,0.9467454552650452
2025-03-25,INTU,0.9492887854576111
2025-03-25,MSFT,0.9481778144836426
2025-03-25,QCOM,0.9470716714859009
2025-03-25,SBUX,0.9488654732704163
2025-03-26,AAPL,0.9639027118682861
2025-03-26,ADBE,0.9586631059646606
2025-03-26,AMD,0.9549748301506042
2025-03-26,CMCSA,0.9565613865852356
2025-03-26,COST,0.9655007719993591
2025-03-26,INTC,0.9561487436294556
2025-03-26,INTU,0.9631593227386475
2025-03-26,MSFT,0.9619931578636169
2025-03-26,QCOM,0.9596633911132812
2025-03-26,SBUX,0.9631250500679016
2025-03-27,AAPL,0.9648661017417908
2025-03-27,ADBE,0.9598036408424377
2025-03-27,AMD,0.9560302495956421
2025-03-27,CMCSA,0.9574763774871826
2025-03-27,COST,0.9665205478668213
2025-03-27,INTC,0.9571784138679504
2025-03-27,INTU,0.9644303321838379
2025-03-27,MSFT,0.9632130861282349
2025-03-27,QCOM,0.9608154892921448
2025-03-27,SBUX,0.9639697670936584
2025-03-28,AAPL,0.9565302133560181
2025-03-28,ADBE,0.9524035453796387
2025-03-28,AMD,0.9509809017181396
2025-03-28,CMCSA,0.9516201615333557
2025-03-28,COST,0.9568361639976501
2025-03-28,INTC,0.9512724876403809
2025-03-28,INTU,0.954555332660675
2025-03-28,MSFT,0.9540107846260071
2025-03-28,QCOM,0.9532625675201416
2025-03-28,SBUX,0.9575797915458679
2025-03-31,AAPL,0.9566535353660583
2025-03-31,ADBE,0.9519191980361938
2025-03-31,AMD,0.9506133794784546
2025-03-31,CMCSA,0.9513779282569885
2025-03-31,COST,0.9570308327674866
2025-03-31,INTC,0.9508994817733765
2025-03-31,INTU,0.9545403122901917
2025-03-31,MSFT,0.9536420702934265
2025-03-31,QCOM,0.9528968930244446
2025-03-31,SBUX,0.957107663154602
2025-04-01,AAPL,0.9473217129707336
2025-04-01,ADBE,0.9418981671333313
2025-04-01,AMD,0.9411200881004333
2025-04-01,CMCSA,0.942468523979187
2025-04-01,COST,0.9480319023132324
